Order,ID,Title,Bucket,Description,Why,Strategy fit,Priority,Status,Effort,Phase,Dependencies,Notes,Date Added
,AI-038,Designer Check — written designer review at any step of a workflow,AI Studio,"An optional human review that rides the JOIN between two cards — never a stage of its own, and never blocking. v1 is WRITTEN NOTES, not a call (owner decision 2026-08-30): the designer looks at the artifact on their own time and returns a verdict plus a short note, which attaches to the Library item. Three verdicts only: good to go, change this first, this won't work. Availability is universal (a check is offered after EVERY stage) but the prompting is tiered: loud where a mistake propagates downstream or the next step spends money, quiet everywhere else. The join rules already ship as checkFor() in src/data/studioRouter.ts.","The missing rung on the price ladder. Today it is $19/mo, $49/mo, or a full project costing thousands, with nothing in between — and that gap is where most people stall. It gives the Studio tier a reason to exist that is NOT 'more generations', which is the weakest possible upgrade argument and the one the tiers currently rest on. It is also the studio's real differentiator made visible at the exact moment someone is deciding whether to trust a step, and the warmest sales moment in the business — the designer has just looked at the actual room and the actual layout. Finally it converts the two honest-exit scenarios (mid-renovation, commercial fit-out) from a booking form into a sellable product.",Both,P2,Idea,L,5,AI-032; AC-002,"SCOPE FOR v1 (owner decision 2026-09-01): ADVICE ONLY, and FREE or near-free. The AI-040 wiring that makes advice actionable is a large job, and charging for advice the visitor cannot act on would sell a problem rather than a solution. So v1 is a taste, rationed by a visible queue cap rather than by price - which also removes the whole credit/metering/billing layer from v1. The priced tiers (Free buys one, Design one a month, Studio three a month + same designer + front of queue) turn on WHEN AI-040 LANDS. Trailed on the pricing plans meanwhile as 'Designer review - coming soon'. COPY RULE: say 'a Designature designer' everywhere before submission; reveal the actual person only AFTER assignment, and understate it. NOT an AI feature: a queue + a note + a metered credit. NOTES, NOT A CALL — no scheduling and no calendar coupling, which is roughly 3x the throughput of a call, makes the note itself the deliverable (spoken advice evaporates), and is cheaper to build. The FREE 15-MIN CALL IS UNAFFECTED and stays as the hero CTA and the site-wide Let's Talk primitive. PARKED, not decided: when a call might be mandatory instead of notes — candidate triggers are (1) the verdict is 'this won't work', (2) irreversible decisions out of Plumb/Wire, (3) whole-home or commercial scope, (4) the artifact cannot be judged as it stands; 2-3 are knowable up front while 1 and 4 are only found mid-review, so those would be the designer converting notes into a call, free. Most of the plumbing exists already (saved_items and /api/user/library from AC-002, usage metering, Resend, the admin Consultations tab). NEW: a review_requests table carrying an assignee from day one so it is delegable, an admin queue tab, a credit type, and the connector UI. Tiers differ by how many checks and queue position — never by a stated turnaround, which the studio cannot control. HARD CONSTRAINT: this is the only offering on the board with real marginal cost (the designer's time) — visible capacity, hard queue cap, never unlimited at any price. Spec: _Plan\Website\AI-032v2-Scenario-Pipelines.md",2026-08-30
,AI-039,"Custom route — describe your situation, get your own pipeline",AI Studio,"The escape hatch on the AI-032 v2 router: the visitor describes their situation in their own words and gets an ordered route built from it. Sits LAST in the identity grid, and under every result as a 'this isn't right' link — never as a peer chip, because offered alongside the named scenarios a large share pick free text (it feels more accurate) and we would pay a model call for someone who matched an existing scenario exactly.","Two jobs. (1) It catches everyone the eleven named scenarios do not describe, instead of dead-ending them. (2) It is the research instrument: every description is a scenario nobody has written yet — cluster them, author scenarios 12/13/14 from real customer language, then move those into the deterministic table. The share of traffic taking Custom should FALL over time; that number is the feature's own success metric. It is also a free, continuous source of real customer vocabulary for ad copy and GEO phrase selection.",Both,P3,Idea,M,5,AI-032,"The ONE justified model call in the router, and it does not reopen the locked 'the router is not an AI feature' decision, because the job is narrow and checkable. validateCustomRoute() already ships in src/data/studioRouter.ts: the output is validated against explorerRoster.ts and any unknown id dropped (so it can never invent a tool we do not have), de-duplicated, re-sorted into phase order by the same engine as the eleven, capped at 6 steps, and if fewer than 2 valid steps survive it falls through to the free call rather than guessing. REMAINING: the server route, the prompt, and logging the descriptions so they can be clustered.",2026-08-30
,AI-040,Apply-and-re-run — designer corrections (and keep/use notes) that reach the prompt,AI Studio,"Constraints that reach the AI Vision prompt, from TWO authors. (1) THE DESIGNER, which is the point: a Designer Check verdict of 'change this first' comes back as corrections the tool can consume, and the visitor clicks APPLY AND RE-RUN. The system does the work; the human supplies only the judgement. (2) The visitor: two short capped fields, 'anything that has to stay?' (my piano, the rug) and 'anything you'd like used?' (wooden flooring). Appended as CONSTRAINTS with the structure-preservation instruction placed AFTER them so it always wins.","THIS IS WHAT MAKES DESIGNER CHECK (AI-038) SELLABLE. Without it a designer writes 'move the bed to the long wall' and the visitor has no way to act on it — AI Vision cannot take 'move the bed', it can only regenerate a different room. The advice becomes homework, and the check has sold a problem instead of a solution. That is why AI-038 ships FREE and advice-only until this lands. Separately, the KEEP half is a differentiator on its own: every rival tool deletes the user's things, and nobody solves it.",Both,P1,Idea,M,5,AI-029; AI-037; AI-038,"REFRAMED 2026-09-01. The original framing was a customer free-text box, and the owner rightly worried we could not produce what people asked for. That risk is real WHEN THE CUSTOMER WRITES THEM — someone types 'add a window'. It is much smaller WHEN THE DESIGNER WRITES THEM, because a designer knows what the tool can do, so the corrections are achievable by construction. Same field, different author, completely different risk profile. Build the designer half FIRST; the customer half is phase 2 and needs the guard below. GUARD for the customer half: a DETERMINISTIC deny-list of structural words (window, wall, door, ceiling, bigger, extend, remove) warning inline 'we keep walls and windows exactly as they are' - no model call needed; a hard character cap against prompt dilution; sanitise for injection (low blast radius - a bad image, not data). ENGINE NOTE: Gemini regenerates the scene so a 'keep' may be ignored; the AI-037 fal FLUX img2img engine keeps the source room and only adds furniture, so it is what makes 'keep my piano' reliable. LATER: promote from the TOOL to the WORKFLOW so constraints also reach Shop My Room and Schedule My Finishes.",2026-08-30
,I-032,Provider cost instrumentation — split Gemini counters + Serper cost-per-run,Infra/CMS,"Make real per-card cost measurable. (a) Split the single `gemini` apiCounter into gemini_image / gemini_vision / gemini_text so a 3.5c image call is distinguishable from a ~0.0001c text call — bumpApiCount sites in server.ts already tag their purpose in comments. (b) Read the existing I-009 serperLog (server.ts ~2213, one row per run with `count`) to derive real searches-per-shopping-list — no new code needed for Serper. (c) Reconcile both against one month of real Gemini + Serper billing.","Every credit price in the Tier Matrix is currently a MODELLED estimate, not a billed figure. R1 (the cost floor) is only as good as the numbers under it — and a wrong estimate on one card is exactly how Shop My Room ended up mispriced at 12 credits. Must land before anything is sold.",Both,P1,Idea,S,4,,Blocks AI-041 and therefore the whole credit model. Serper half is nearly free — serperLog already records calls per run. Gemini half needs the counter split. Video (Walk My Room) is the shakiest estimate and could move 10x.,2026-09-04
,AI-041,Per-tool credit price map + cost-floor guard test,AI Studio,"One canonical table mapping each of the 19 roster cards to its credit price, colocated with explorerRoster.ts, plus a vitest asserting no card's cost-per-credit exceeds the ceiling card (Redesign My Room, $0.0035). Test reads the same cost estimates the Tier Matrix uses, so drift fails CI rather than silently leaking margin.",Stops the Shop-My-Room class of bug recurring. A credit price set below its cost floor is invisible in review and unbounded in production — a test is the only thing that catches it when someone adds a tool in a hurry.,Both,P1,Idea,S,4,I-032,Sheet 'Tier Matrix' section 2 is the source of truth for the numbers; keep them in sync or the test is theatre.,2026-09-04
,I-031,Credit ledger & metering engine,Infra/CMS,"Replace the split generationsLeft / shoppingListsLeft counters with a single server-authoritative credit balance per user. Per-tool debit priced from the AI-041 map, decrement-before-provider-call with bounded refund on failure (same invariant as server/quota.ts today), non-expiring balances for pay-once packs, monthly reset for subscriptions, and a top-up path. No client-callable mutation endpoint.",The whole pricing model rests on this. Today quota is two hardcoded per-feature counters with a lifetime cap; the credit model needs one pool that any of 19 tools can draw on at different rates.,Both,P0,Idea,L,4,"I-024, AI-041","Must preserve the free-tier lockdown invariant (PR #62): the ONLY way a balance rises is the refund-on-failure path, bounded by the pre-decrement balance. Free tier becomes 50 credits once, replacing 3+3.",2026-09-04
,I-033,Credit packs as one-time purchases on Ameriabank vPOS,Infra/CMS,"Sell Starter $39 / Project $129 / Project Plus $249 as one-time charges on the vPOS rail that already runs the $99 consultation, crediting the balance on verified callback. Includes pack-to-pack upgrade charging only the difference, and top-ups.",Pay-once packs are the only paid product that can be BILLED today — Rail A subscriptions are still blocked after Lemon Squeezy and Paddle both rejected. vPOS one-time payments are shipped and working (I-025).,Both,P1,Idea,M,4,"I-031, I-025",Check vPOS handles international cards at $249 and the AMD conversion before promising the price. Subscriptions still need a merchant of record — unrelated blocker.,2026-09-04
,S-031,Rebuild /pricing on the credit model,Strategy,"Port the mockup: three blocks (Free 50 credits · pay-once ladder 400/3,000/6,500 · monthly 1,000/mo), a 'How credits work' band anchoring on 'one render = 10 credits', a 'that's about N redesigns' translation on every card, and the full 19-tool credit price list below the plans.","The live page sells Free / Design $19 / Studio $49, two of which cannot be bought and one of which gates three tools. The credit model removes feature-gating entirely — Free unlocks every tool and is limited by quantity — which also resolves the 'don't call the AI Studio free' framing problem.",Both,P1,Idea,M,4,I-031,Mockup: _Mockups/Website/WEBSITE-PLAN-pricing-page-credits.html. Copy rules R4 and R5 in Tier Matrix are binding on this page. Also update the Deliverables AI-vs-Studio table in the same PR per the sync rule.,2026-09-04
,M-004,Installable app (PWA) with push notifications. Phase 1 of M-003,Mobile,"Turn the live site into an installable app on iPhone, Android and desktop, then add push. Three build blocks. (1) App manifest, icon set, install prompt and an install page carrying the iPhone Add to Home Screen steps. (2) Service worker and offline shell so the app opens on a weak connection, faster image upload on mobile data, and camera capture straight into AI Vision. (3) Web push: signing keys, subscription storage in Postgres, a notification preferences panel in the account page, quiet hours and one tap off. Owner alerts ship first (credit pack bought, consultation booked, new feedback, failed payment), customer notifications second (your room is ready, credits running low, consultation tomorrow, receipt). No marketing notifications. Feature parity is free: it is the same site, so every desktop page is in the app the day it ships.","Two jobs, both real. It keeps the users we already have, because a home screen icon plus a timely notification is the only reliable way back into a design project that runs for weeks. And it puts a notification on the owner phone the second someone pays or books, which today is only visible by opening the admin page. It will NOT bring new users: there is no store listing to be discovered in. Judge it on retention and on owner response time, never on signups.",Both,P1,"Approved (route decided 2026-09-06: PWA with push, not a store wrap, not a native rebuild)",L,5,M-001 (mobile UX audit runs first); I-031 credit ledger for the credits low alert; I-025 and I-033 for the payment events behind the owner alerts,"Owner decision 2026-09-06. Chosen over the two alternatives on cost and control: a Capacitor store wrap costs Apple and Google developer accounts, store review and an Apple cut on every in app credit purchase, and a React Native rebuild means every website change gets built twice. THE ONE REAL CATCH: on iPhone, notifications only work after the visitor adds the site to their home screen, so the install prompt copy carries the whole feature and iPhone opt in will lag Android. Scheduled on the weekly board (docs/action-plan.html) as weeks 4 to 9, 2026-09-28 to 2026-11-08, after virtual staging V1. Revisit a real store app only when notification opt in among active users passes roughly half, or when people start asking for it. M-003 stays the destination: the pipeline aware nudges ride on this plumbing once AI-032 v2 defines the pipelines.",2026-09-06
,AI-042,Add Farmhouse style. Chip in AI Vision AND a scorable arm of the Style Quiz,AI Studio,"Add Farmhouse everywhere a style has to exist, not just as a chip. (a) VISION_STYLES_FULL in src/components/VisionExperience.tsx, plus the STYLE_NAME_TO_PRESET mapping and the STYLE_BRIEFS entry that every chip needs or it silently generates with no style at all (stylePresets.test asserts this). (b) The STYLES array and a STYLE_DESCRIPTIONS entry, summary plus four defining elements, in src/components/StyleQuizScreen.tsx, so the quiz can actually return it as a verdict. (c) The QuizStyle union and image weights in src/data/quizImageWeights.ts, with three or four Farmhouse rooms added to the deck. (d) The ai.style.farmhouse label in LanguageContext for EN, AM and RU. (e) The FAQ answer in src/data/faqs.ts that says 15 curated styles becomes 16.","Farmhouse is one of the highest volume style searches in the US and it is already planned as an article and a Pinterest board in the content calendar batch C. A quiz cannot return a style it does not know, so today a farmhouse leaning visitor gets labelled Rustic, which is the wrong verdict and the wrong shopping list. Cheap to add and it feeds the Pinterest lane.",Both,P2,Idea,S,1,Owner supplies three or four Farmhouse room images for the quiz deck (Cloudinary),"Owner request 2026-09-06. The code work is small. The real work is the quiz images, which only the owner can choose. Watch the Rustic overlap: once Farmhouse exists, the Rustic weights in the deck probably need rebalancing or the two will split each other votes. Note the legacy VISION_STYLES array in AIConceptsPage.tsx is deliberately frozen, add to the FULL lists only.",2026-09-06
